Date;Open;High;Low;Close;Adj Close;Volume
10.3.2017;5.330000;5.380000;5.320000;5.370000;5.220560;9750400
13.3.2017;5.350000;5.370000;5.340000;5.360000;5.210838;6772700
14.3.2017;5.340000;5.340000;5.300000;5.340000;5.191395;4769900
15.3.2017;5.320000;5.390000;5.300000;5.370000;5.220560;8469500
16.3.2017;5.410000;5.480000;5.410000;5.450000;5.298333;10505800
17.3.2017;5.490000;5.500000;5.450000;5.460000;5.308055;9137300
20.3.2017;5.530000;5.570000;5.500000;5.540000;5.385828;18719800
21.3.2017;5.540000;5.560000;5.400000;5.400000;5.249725;18328900
22.3.2017;5.350000;5.390000;5.300000;5.390000;5.240003;14704000
23.3.2017;5.350000;5.410000;5.330000;5.380000;5.230281;7050700
24.3.2017;5.370000;5.410000;5.350000;5.370000;5.220560;7708600
27.3.2017;5.420000;5.500000;5.410000;5.460000;5.308055;11703200
28.3.2017;5.420000;5.450000;5.370000;5.400000;5.249725;14205700
29.3.2017;5.350000;5.380000;5.330000;5.360000;5.210838;10611200
30.3.2017;5.330000;5.380000;5.320000;5.330000;5.181673;8437900
31.3.2017;5.360000;5.430000;5.350000;5.420000;5.269168;8723600
3.4.2017;5.380000;5.380000;5.280000;5.330000;5.181673;8906400
4.4.2017;5.300000;5.360000;5.290000;5.360000;5.210838;8675300
5.4.2017;5.280000;5.290000;5.180000;5.180000;5.035847;14430800
6.4.2017;5.230000;5.290000;5.220000;5.230000;5.084455;10637600
7.4.2017;5.260000;5.310000;5.250000;5.280000;5.133064;5663200
10.4.2017;5.320000;5.350000;5.300000;5.310000;5.162229;6250400
11.4.2017;5.270000;5.300000;5.210000;5.270000;5.123343;8194700
12.4.2017;5.290000;5.310000;5.250000;5.280000;5.133064;10323800
13.4.2017;5.260000;5.290000;5.220000;5.220000;5.074734;7600400
17.4.2017;5.230000;5.290000;5.230000;5.260000;5.113621;3136300
18.4.2017;5.240000;5.260000;5.190000;5.230000;5.084455;6489700
19.4.2017;5.220000;5.240000;5.170000;5.170000;5.026125;11528600
20.4.2017;5.290000;5.330000;5.250000;5.270000;5.123343;20536800
21.4.2017;5.240000;5.240000;5.170000;5.220000;5.074734;14189600
24.4.2017;5.420000;5.420000;5.350000;5.380000;5.230281;27273200
25.4.2017;5.440000;5.460000;5.400000;5.430000;5.278890;23616500
26.4.2017;5.400000;5.440000;5.360000;5.370000;5.220560;23249400
27.4.2017;5.700000;5.780000;5.590000;5.720000;5.560819;62358500
28.4.2017;5.760000;5.780000;5.670000;5.730000;5.570541;30801500
1.5.2017;5.740000;5.770000;5.720000;5.770000;5.609428;11869600
2.5.2017;5.840000;5.870000;5.820000;5.840000;5.677480;26115600
3.5.2017;5.860000;6.000000;5.840000;5.880000;5.716367;13686900
4.5.2017;5.970000;6.030000;5.970000;6.030000;5.862193;19677700
5.5.2017;6.110000;6.190000;6.090000;6.180000;6.008018;30516400
8.5.2017;6.080000;6.150000;6.070000;6.130000;5.959410;19731500
9.5.2017;6.140000;6.190000;6.130000;6.180000;6.008018;17102600
10.5.2017;6.090000;6.150000;6.070000;6.140000;5.969131;22213800
11.5.2017;6.140000;6.160000;6.050000;6.120000;5.949688;16353600
12.5.2017;6.170000;6.190000;6.150000;6.170000;5.998297;8923400
15.5.2017;6.230000;6.260000;6.210000;6.210000;6.037183;11908900
16.5.2017;6.280000;6.310000;6.250000;6.280000;6.105236;11789800
17.5.2017;6.220000;6.230000;6.100000;6.110000;5.939967;17810500
18.5.2017;6.090000;6.170000;6.060000;6.110000;5.939967;22597900
19.5.2017;6.180000;6.230000;6.170000;6.180000;6.008018;15210000
22.5.2017;6.210000;6.240000;6.160000;6.210000;6.037183;21738800
23.5.2017;6.640000;6.650000;6.480000;6.540000;6.358000;40443300
24.5.2017;6.430000;6.460000;6.350000;6.390000;6.390000;30848500
25.5.2017;6.370000;6.430000;6.360000;6.400000;6.400000;17939000
26.5.2017;6.390000;6.420000;6.370000;6.380000;6.380000;11261500
30.5.2017;6.380000;6.380000;6.290000;6.340000;6.340000;16104300
31.5.2017;6.400000;6.420000;6.280000;6.320000;6.320000;19869900
1.6.2017;6.440000;6.540000;6.420000;6.490000;6.490000;20838300
2.6.2017;6.580000;6.600000;6.530000;6.550000;6.550000;14477100
5.6.2017;6.460000;6.540000;6.450000;6.540000;6.540000;13736500
6.6.2017;6.430000;6.520000;6.420000;6.460000;6.460000;15317800
7.6.2017;6.580000;6.590000;6.490000;6.540000;6.540000;17058000
8.6.2017;6.530000;6.540000;6.470000;6.520000;6.520000;13078000
9.6.2017;6.500000;6.520000;6.280000;6.400000;6.400000;21430800
12.6.2017;6.350000;6.390000;6.270000;6.350000;6.350000;20020500
13.6.2017;6.440000;6.460000;6.380000;6.420000;6.420000;12232000
14.6.2017;6.480000;6.480000;6.330000;6.380000;6.380000;17573800
15.6.2017;6.280000;6.360000;6.270000;6.330000;6.330000;14324600
16.6.2017;6.340000;6.410000;6.320000;6.400000;6.400000;11104800
19.6.2017;6.420000;6.470000;6.420000;6.460000;6.460000;11765400
20.6.2017;6.460000;6.470000;6.370000;6.370000;6.370000;14037800
21.6.2017;6.340000;6.390000;6.330000;6.390000;6.390000;13080700
22.6.2017;6.390000;6.420000;6.360000;6.380000;6.380000;11325700
23.6.2017;6.340000;6.410000;6.330000;6.390000;6.390000;10136400
26.6.2017;6.430000;6.460000;6.340000;6.340000;6.340000;14180700
27.6.2017;6.290000;6.320000;6.260000;6.280000;6.280000;11388500
28.6.2017;6.320000;6.360000;6.280000;6.360000;6.360000;16737800
29.6.2017;6.280000;6.290000;6.100000;6.170000;6.170000;21632100
30.6.2017;6.170000;6.180000;6.090000;6.160000;6.160000;13368700
3.7.2017;6.180000;6.210000;6.150000;6.150000;6.150000;6618100
5.7.2017;6.230000;6.240000;6.180000;6.220000;6.220000;14404700
6.7.2017;6.120000;6.180000;6.110000;6.140000;6.140000;14174100
7.7.2017;6.170000;6.260000;6.160000;6.250000;6.250000;11906700
10.7.2017;6.190000;6.280000;6.190000;6.260000;6.260000;10418900
11.7.2017;6.200000;6.250000;6.160000;6.240000;6.240000;11783500
12.7.2017;6.280000;6.380000;6.270000;6.340000;6.340000;11561500
13.7.2017;6.300000;6.330000;6.270000;6.330000;6.330000;10371200
14.7.2017;6.270000;6.330000;6.260000;6.330000;6.330000;7725700
17.7.2017;6.300000;6.340000;6.290000;6.310000;6.310000;7178600
18.7.2017;6.140000;6.180000;6.120000;6.140000;6.140000;12397400
19.7.2017;6.220000;6.260000;6.190000;6.220000;6.220000;8283600
20.7.2017;6.250000;6.280000;6.210000;6.260000;6.260000;9905500
21.7.2017;6.210000;6.230000;6.150000;6.200000;6.200000;9102500
24.7.2017;6.220000;6.240000;6.180000;6.230000;6.230000;7808400
25.7.2017;6.150000;6.190000;6.130000;6.160000;6.160000;12320100
26.7.2017;6.180000;6.210000;6.150000;6.170000;6.170000;12337400
27.7.2017;6.440000;6.480000;6.280000;6.370000;6.370000;27359800
28.7.2017;6.310000;6.410000;6.280000;6.400000;6.400000;17284800
