Name;Date;Timeband;Yield
Government Bonds;8.10.2015;5 YEARS;0,033102
Government Bonds;8.10.2015;7 YEARS;0,31217
Government Bonds;8.10.2015;12 YEARS;0,870562
Government Bonds;8.10.2015;15 YEARS;1,080809
Government Bonds;8.10.2015;3 MONTHS;-0,307478
Government Bonds;8.10.2015;6 MONTHS;-0,295644
Government Bonds;8.10.2015;9 MONTHS;-0,288403
Government Bonds;8.10.2015;20 YEARS;1,303562
Government Bonds;8.10.2015;25 YEARS;1,439421
Government Bonds;8.10.2015;30 YEARS;1,53018
Euribor rates;9.10.2015;1 WEEK;-0,149
Euribor rates;9.10.2015;2 WEEKS;-0,144
Euribor rates;9.10.2015;1 MONTH;-0,113
Euribor rates;9.10.2015;2 MONTHS;-0,073
Euribor rates;9.10.2015;3 MONTHS;-0,049
Euribor rates;9.10.2015;6 MONTHS;0,028
Euribor rates;9.10.2015;9 MONTHS;0,072
Euribor rates;9.10.2015;12 MONTHS;0,139
Government Bonds;9.10.2015;10 YEARS;0,71107
Government Bonds;9.10.2015;12 MONTHS;-0,282489
Government Bonds;9.10.2015;2 YEARS;-0,253815
Government Bonds;9.10.2015;5 YEARS;0,050008
Government Bonds;9.10.2015;7 YEARS;0,335442
Government Bonds;9.10.2015;12 YEARS;0,903032
Government Bonds;9.10.2015;15 YEARS;1,116293
Government Bonds;9.10.2015;3 MONTHS;-0,306425
Government Bonds;9.10.2015;6 MONTHS;-0,295016
Government Bonds;9.10.2015;9 MONTHS;-0,287787
Government Bonds;9.10.2015;20 YEARS;1,342172
Government Bonds;9.10.2015;25 YEARS;1,47993
Government Bonds;9.10.2015;30 YEARS;1,571958
Euribor rates;12.10.2015;1 WEEK;-0,149
Euribor rates;12.10.2015;2 WEEKS;-0,144
Euribor rates;12.10.2015;1 MONTH;-0,113
Euribor rates;12.10.2015;2 MONTHS;-0,073
Euribor rates;12.10.2015;3 MONTHS;-0,049
Euribor rates;12.10.2015;6 MONTHS;0,027
Euribor rates;12.10.2015;9 MONTHS;0,071
Euribor rates;12.10.2015;12 MONTHS;0,139
Government Bonds;12.10.2015;10 YEARS;0,67734
Government Bonds;12.10.2015;12 MONTHS;-0,285224
Government Bonds;12.10.2015;2 YEARS;-0,26074
Government Bonds;12.10.2015;5 YEARS;0,027853
Government Bonds;12.10.2015;7 YEARS;0,306813
Government Bonds;12.10.2015;12 YEARS;0,867566
Government Bonds;12.10.2015;15 YEARS;1,079336
Government Bonds;12.10.2015;3 MONTHS;-0,308666
Government Bonds;12.10.2015;6 MONTHS;-0,297026
Government Bonds;12.10.2015;9 MONTHS;-0,289991
Government Bonds;12.10.2015;20 YEARS;1,303933
Government Bonds;12.10.2015;25 YEARS;1,440973
Government Bonds;12.10.2015;30 YEARS;1,532527
Euribor rates;13.10.2015;1 WEEK;-0,149
Euribor rates;13.10.2015;2 WEEKS;-0,144
Euribor rates;13.10.2015;1 MONTH;-0,113
Euribor rates;13.10.2015;2 MONTHS;-0,073
Euribor rates;13.10.2015;3 MONTHS;-0,049
Euribor rates;13.10.2015;6 MONTHS;0,026
Euribor rates;13.10.2015;9 MONTHS;0,071
Euribor rates;13.10.2015;12 MONTHS;0,139
Government Bonds;13.10.2015;10 YEARS;0,691637
Government Bonds;13.10.2015;12 MONTHS;-0,280369
Government Bonds;13.10.2015;2 YEARS;-0,257851
Government Bonds;13.10.2015;5 YEARS;0,031939
Government Bonds;13.10.2015;7 YEARS;0,315065
Government Bonds;13.10.2015;12 YEARS;0,884974
Government Bonds;13.10.2015;15 YEARS;1,100156
Government Bonds;13.10.2015;3 MONTHS;-0,302627
Government Bonds;13.10.2015;6 MONTHS;-0,291234
Government Bonds;13.10.2015;9 MONTHS;-0,284623
Government Bonds;13.10.2015;20 YEARS;1,328308
Government Bonds;13.10.2015;25 YEARS;1,467497
Government Bonds;13.10.2015;30 YEARS;1,560485
Euribor rates;14.10.2015;1 WEEK;-0,148
Euribor rates;14.10.2015;2 WEEKS;-0,144
Euribor rates;14.10.2015;1 MONTH;-0,113
Euribor rates;14.10.2015;2 MONTHS;-0,073
Euribor rates;14.10.2015;3 MONTHS;-0,049
Euribor rates;14.10.2015;6 MONTHS;0,027
Euribor rates;14.10.2015;9 MONTHS;0,071
Euribor rates;14.10.2015;12 MONTHS;0,137
Government Bonds;14.10.2015;10 YEARS;0,658745
Government Bonds;14.10.2015;12 MONTHS;-0,27473
Government Bonds;14.10.2015;2 YEARS;-0,262257
Government Bonds;14.10.2015;5 YEARS;0,006641
Government Bonds;14.10.2015;7 YEARS;0,284538
Government Bonds;14.10.2015;12 YEARS;0,851781
Government Bonds;14.10.2015;15 YEARS;1,066979
Government Bonds;14.10.2015;3 MONTHS;-0,291382
Government Bonds;14.10.2015;6 MONTHS;-0,28143
Government Bonds;14.10.2015;9 MONTHS;-0,276741
Government Bonds;14.10.2015;20 YEARS;1,295334
Government Bonds;14.10.2015;25 YEARS;1,434676
Government Bonds;14.10.2015;30 YEARS;1,527768
Euribor rates;15.10.2015;1 WEEK;-0,149
Euribor rates;15.10.2015;2 WEEKS;-0,142
Euribor rates;15.10.2015;1 MONTH;-0,114
Euribor rates;15.10.2015;2 MONTHS;-0,074
Euribor rates;15.10.2015;3 MONTHS;-0,052
Euribor rates;15.10.2015;6 MONTHS;0,024
Euribor rates;15.10.2015;9 MONTHS;0,068
Euribor rates;15.10.2015;12 MONTHS;0,134
Government Bonds;15.10.2015;10 YEARS;0,651932
Government Bonds;15.10.2015;12 MONTHS;-0,295262
Government Bonds;15.10.2015;2 YEARS;-0,271922
Government Bonds;15.10.2015;5 YEARS;0,005622
Government Bonds;15.10.2015;7 YEARS;0,281155
Government Bonds;15.10.2015;12 YEARS;0,843783
Government Bonds;15.10.2015;15 YEARS;1,058242
Government Bonds;15.10.2015;3 MONTHS;-0,322161
Government Bonds;15.10.2015;6 MONTHS;-0,308771
Government Bonds;15.10.2015;9 MONTHS;-0,30062
Government Bonds;15.10.2015;20 YEARS;1,286365
Government Bonds;15.10.2015;25 YEARS;1,425716
Government Bonds;15.10.2015;30 YEARS;1,518834
Euribor rates;16.10.2015;1 WEEK;-0,149
Euribor rates;16.10.2015;2 WEEKS;-0,144
Euribor rates;16.10.2015;1 MONTH;-0,116
Euribor rates;16.10.2015;2 MONTHS;-0,076
Euribor rates;16.10.2015;3 MONTHS;-0,051
Euribor rates;16.10.2015;6 MONTHS;0,021
Euribor rates;16.10.2015;9 MONTHS;0,066
Euribor rates;16.10.2015;12 MONTHS;0,129
Government Bonds;16.10.2015;10 YEARS;0,654291
Government Bonds;16.10.2015;12 MONTHS;-0,299142
Government Bonds;16.10.2015;2 YEARS;-0,270041
Government Bonds;16.10.2015;5 YEARS;0,011777
Government Bonds;16.10.2015;7 YEARS;0,285996
Government Bonds;16.10.2015;12 YEARS;0,844851
Government Bonds;16.10.2015;15 YEARS;1,057931
Government Bonds;16.10.2015;3 MONTHS;-0,332567
Government Bonds;16.10.2015;6 MONTHS;-0,316785
Government Bonds;16.10.2015;9 MONTHS;-0,306457
Government Bonds;16.10.2015;20 YEARS;1,284663
Government Bonds;16.10.2015;25 YEARS;1,423188
Government Bonds;16.10.2015;30 YEARS;1,515757
Euribor rates;19.10.2015;1 WEEK;-0,149
Euribor rates;19.10.2015;2 WEEKS;-0,146
Euribor rates;19.10.2015;1 MONTH;-0,117
Euribor rates;19.10.2015;2 MONTHS;-0,077
Euribor rates;19.10.2015;3 MONTHS;-0,054
Euribor rates;19.10.2015;6 MONTHS;0,019
Euribor rates;19.10.2015;9 MONTHS;0,066
Euribor rates;19.10.2015;12 MONTHS;0,128
Government Bonds;19.10.2015;10 YEARS;0,66665
Government Bonds;19.10.2015;12 MONTHS;-0,28762
Government Bonds;19.10.2015;2 YEARS;-0,270307
Government Bonds;19.10.2015;5 YEARS;0,012161
Government Bonds;19.10.2015;7 YEARS;0,292402
Government Bonds;19.10.2015;12 YEARS;0,859301
Government Bonds;19.10.2015;15 YEARS;1,074057
Government Bonds;19.10.2015;3 MONTHS;-0,302346
Government Bonds;19.10.2015;6 MONTHS;-0,294017
Government Bonds;19.10.2015;9 MONTHS;-0,28987
Government Bonds;19.10.2015;20 YEARS;1,302038
Government Bonds;19.10.2015;25 YEARS;1,441195
Government Bonds;19.10.2015;30 YEARS;1,53417
Euribor rates;20.10.2015;1 WEEK;-0,148
Euribor rates;20.10.2015;2 WEEKS;-0,146
Euribor rates;20.10.2015;1 MONTH;-0,117
Euribor rates;20.10.2015;2 MONTHS;-0,078
Euribor rates;20.10.2015;3 MONTHS;-0,053
Euribor rates;20.10.2015;6 MONTHS;0,018
Euribor rates;20.10.2015;9 MONTHS;0,066
Euribor rates;20.10.2015;12 MONTHS;0,129
Government Bonds;20.10.2015;10 YEARS;0,733099
Government Bonds;20.10.2015;12 MONTHS;-0,271443
Government Bonds;20.10.2015;2 YEARS;-0,243097
Government Bonds;20.10.2015;5 YEARS;0,064593
Government Bonds;20.10.2015;7 YEARS;0,353664
Government Bonds;20.10.2015;12 YEARS;0,926563
Government Bonds;20.10.2015;15 YEARS;1,141179
Government Bonds;20.10.2015;3 MONTHS;-0,295184
Government Bonds;20.10.2015;6 MONTHS;-0,283745
Government Bonds;20.10.2015;9 MONTHS;-0,276603
Government Bonds;20.10.2015;20 YEARS;1,368229
Government Bonds;20.10.2015;25 YEARS;1,506636
Government Bonds;20.10.2015;30 YEARS;1,599088
Euribor rates;21.10.2015;1 WEEK;-0,149
Euribor rates;21.10.2015;2 WEEKS;-0,145
Euribor rates;21.10.2015;1 MONTH;-0,118
Euribor rates;21.10.2015;2 MONTHS;-0,079
Euribor rates;21.10.2015;3 MONTHS;-0,053
Euribor rates;21.10.2015;6 MONTHS;0,019
Euribor rates;21.10.2015;9 MONTHS;0,065
Euribor rates;21.10.2015;12 MONTHS;0,13
Government Bonds;21.10.2015;10 YEARS;0,686198
Government Bonds;21.10.2015;12 MONTHS;-0,286188
Government Bonds;21.10.2015;2 YEARS;-0,256546
Government Bonds;21.10.2015;5 YEARS;0,034409
Government Bonds;21.10.2015;7 YEARS;0,313542
Government Bonds;21.10.2015;12 YEARS;0,878427
Government Bonds;21.10.2015;15 YEARS;1,093076
Government Bonds;21.10.2015;3 MONTHS;-0,316642
Government Bonds;21.10.2015;6 MONTHS;-0,302323
Government Bonds;21.10.2015;9 MONTHS;-0,292956
Government Bonds;21.10.2015;20 YEARS;1,321277
Government Bonds;21.10.2015;25 YEARS;1,460656
Government Bonds;21.10.2015;30 YEARS;1,553791
Euribor rates;22.10.2015;1 WEEK;-0,148
Euribor rates;22.10.2015;2 WEEKS;-0,145
Euribor rates;22.10.2015;1 MONTH;-0,118
Euribor rates;22.10.2015;2 MONTHS;-0,078
Euribor rates;22.10.2015;3 MONTHS;-0,053
Euribor rates;22.10.2015;6 MONTHS;0,019
Euribor rates;22.10.2015;9 MONTHS;0,064
Euribor rates;22.10.2015;12 MONTHS;0,129
Government Bonds;22.10.2015;10 YEARS;0,576973
Government Bonds;22.10.2015;12 MONTHS;-0,345102
Government Bonds;22.10.2015;2 YEARS;-0,339283
Government Bonds;22.10.2015;5 YEARS;-0,070351
Government Bonds;22.10.2015;7 YEARS;0,204109
Government Bonds;22.10.2015;12 YEARS;0,771889
Government Bonds;22.10.2015;15 YEARS;0,991465
Government Bonds;22.10.2015;3 MONTHS;-0,336907
Government Bonds;22.10.2015;6 MONTHS;-0,338577
Government Bonds;22.10.2015;9 MONTHS;-0,341847
Government Bonds;22.10.2015;20 YEARS;1,226645
Government Bonds;22.10.2015;25 YEARS;1,370769
Government Bonds;22.10.2015;30 YEARS;1,46714
Euribor rates;23.10.2015;1 WEEK;-0,147
Euribor rates;23.10.2015;2 WEEKS;-0,145
Euribor rates;23.10.2015;1 MONTH;-0,119
Euribor rates;23.10.2015;2 MONTHS;-0,082
Euribor rates;23.10.2015;3 MONTHS;-0,061
Euribor rates;23.10.2015;6 MONTHS;0,01
Euribor rates;23.10.2015;9 MONTHS;0,051
Euribor rates;23.10.2015;12 MONTHS;0,114
Government Bonds;23.10.2015;10 YEARS;0,610697
Government Bonds;23.10.2015;12 MONTHS;-0,325847
Government Bonds;23.10.2015;2 YEARS;-0,319592
Government Bonds;23.10.2015;5 YEARS;-0,049871
Government Bonds;23.10.2015;7 YEARS;0,232155
Government Bonds;23.10.2015;12 YEARS;0,805363
Government Bonds;23.10.2015;15 YEARS;1,021957
Government Bonds;23.10.2015;3 MONTHS;-0,333423
Government Bonds;23.10.2015;6 MONTHS;-0,326989
Government Bonds;23.10.2015;9 MONTHS;-0,325314
Government Bonds;23.10.2015;20 YEARS;1,251449
Government Bonds;23.10.2015;25 YEARS;1,3914
Government Bonds;23.10.2015;30 YEARS;1,484889
Euribor rates;26.10.2015;1 WEEK;-0,147
Euribor rates;26.10.2015;2 WEEKS;-0,146
Euribor rates;26.10.2015;1 MONTH;-0,119
Euribor rates;26.10.2015;2 MONTHS;-0,083
Euribor rates;26.10.2015;3 MONTHS;-0,064
Euribor rates;26.10.2015;6 MONTHS;0,008
Euribor rates;26.10.2015;9 MONTHS;0,049
Euribor rates;26.10.2015;12 MONTHS;0,11
Government Bonds;26.10.2015;10 YEARS;0,59575
Government Bonds;26.10.2015;12 MONTHS;-0,338304
Government Bonds;26.10.2015;2 YEARS;-0,327152
Government Bonds;26.10.2015;5 YEARS;-0,054661
Government Bonds;26.10.2015;7 YEARS;0,223187
Government Bonds;26.10.2015;12 YEARS;0,787699
Government Bonds;26.10.2015;15 YEARS;1,001661
Government Bonds;26.10.2015;3 MONTHS;-0,347988
Government Bonds;26.10.2015;6 MONTHS;-0,341307
Government Bonds;26.10.2015;9 MONTHS;-0,338858
Government Bonds;26.10.2015;20 YEARS;1,228743
Government Bonds;26.10.2015;25 YEARS;1,36733
Government Bonds;26.10.2015;30 YEARS;1,459921
Euribor rates;27.10.2015;1 WEEK;-0,147
Euribor rates;27.10.2015;2 WEEKS;-0,147
Euribor rates;27.10.2015;1 MONTH;-0,119
Euribor rates;27.10.2015;2 MONTHS;-0,084
Euribor rates;27.10.2015;3 MONTHS;-0,066
Euribor rates;27.10.2015;6 MONTHS;0,008
Euribor rates;27.10.2015;9 MONTHS;0,047
Euribor rates;27.10.2015;12 MONTHS;0,108
Government Bonds;27.10.2015;10 YEARS;0,548717
Government Bonds;27.10.2015;12 MONTHS;-0,351439
Government Bonds;27.10.2015;2 YEARS;-0,339378
Government Bonds;27.10.2015;5 YEARS;-0,082186
Government Bonds;27.10.2015;7 YEARS;0,185311
Government Bonds;27.10.2015;12 YEARS;0,737563
Government Bonds;27.10.2015;15 YEARS;0,949073
Government Bonds;27.10.2015;3 MONTHS;-0,366295
Government Bonds;27.10.2015;6 MONTHS;-0,357405
Government Bonds;27.10.2015;9 MONTHS;-0,353237
Government Bonds;27.10.2015;20 YEARS;1,174351
Government Bonds;27.10.2015;25 YEARS;1,312031
Government Bonds;27.10.2015;30 YEARS;1,40404
Euribor rates;28.10.2015;1 WEEK;-0,146
Euribor rates;28.10.2015;2 WEEKS;-0,146
Euribor rates;28.10.2015;1 MONTH;-0,119
Euribor rates;28.10.2015;2 MONTHS;-0,085
Euribor rates;28.10.2015;3 MONTHS;-0,067
Euribor rates;28.10.2015;6 MONTHS;0,006
Euribor rates;28.10.2015;9 MONTHS;0,044
Euribor rates;28.10.2015;12 MONTHS;0,104
Government Bonds;28.10.2015;10 YEARS;0,567804
Government Bonds;28.10.2015;12 MONTHS;-0,344862
Government Bonds;28.10.2015;2 YEARS;-0,337057
Government Bonds;28.10.2015;5 YEARS;-0,07522
Government Bonds;28.10.2015;7 YEARS;0,199171
Government Bonds;28.10.2015;12 YEARS;0,757362
Government Bonds;28.10.2015;15 YEARS;0,968209
Government Bonds;28.10.2015;3 MONTHS;-0,356962
Government Bonds;28.10.2015;6 MONTHS;-0,348592
Government Bonds;28.10.2015;9 MONTHS;-0,345431
Government Bonds;28.10.2015;20 YEARS;1,191533
Government Bonds;28.10.2015;25 YEARS;1,327698
Government Bonds;28.10.2015;30 YEARS;1,418655
Euribor rates;29.10.2015;1 WEEK;-0,148
Euribor rates;29.10.2015;2 WEEKS;-0,148
Euribor rates;29.10.2015;1 MONTH;-0,119
Euribor rates;29.10.2015;2 MONTHS;-0,085
Euribor rates;29.10.2015;3 MONTHS;-0,068
Euribor rates;29.10.2015;6 MONTHS;0,004
Euribor rates;29.10.2015;9 MONTHS;0,042
Euribor rates;29.10.2015;12 MONTHS;0,104
Government Bonds;29.10.2015;10 YEARS;0,607062
Government Bonds;29.10.2015;12 MONTHS;-0,337877
Government Bonds;29.10.2015;2 YEARS;-0,325569
Government Bonds;29.10.2015;5 YEARS;-0,043403
Government Bonds;29.10.2015;7 YEARS;0,237864
Government Bonds;29.10.2015;12 YEARS;0,794136
Government Bonds;29.10.2015;15 YEARS;1,000562
Government Bonds;29.10.2015;3 MONTHS;-0,350377
Government Bonds;29.10.2015;6 MONTHS;-0,342177
Government Bonds;29.10.2015;9 MONTHS;-0,338888
Government Bonds;29.10.2015;20 YEARS;1,217944
Government Bonds;29.10.2015;25 YEARS;1,350194
Government Bonds;29.10.2015;30 YEARS;1,438503
Euribor rates;30.10.2015;1 WEEK;-0,148
Euribor rates;30.10.2015;2 WEEKS;-0,148
Euribor rates;30.10.2015;1 MONTH;-0,119
Euribor rates;30.10.2015;2 MONTHS;-0,084
Euribor rates;30.10.2015;3 MONTHS;-0,068
Euribor rates;30.10.2015;6 MONTHS;0,006
Euribor rates;30.10.2015;9 MONTHS;0,043
Euribor rates;30.10.2015;12 MONTHS;0,107
Government Bonds;30.10.2015;10 YEARS;0,629988
Government Bonds;30.10.2015;12 MONTHS;-0,329809
Government Bonds;30.10.2015;2 YEARS;-0,313431
Government Bonds;30.10.2015;5 YEARS;-0,025507
Government Bonds;30.10.2015;7 YEARS;0,258072
Government Bonds;30.10.2015;12 YEARS;0,818464
Government Bonds;30.10.2015;15 YEARS;1,026487
Government Bonds;30.10.2015;3 MONTHS;-0,34721
Government Bonds;30.10.2015;6 MONTHS;-0,337137
Government Bonds;30.10.2015;9 MONTHS;-0,332227
Government Bonds;30.10.2015;20 YEARS;1,245599
Government Bonds;30.10.2015;25 YEARS;1,378915
Government Bonds;30.10.2015;30 YEARS;1,467936
Euribor rates;2.11.2015;1 WEEK;-0,148
Euribor rates;2.11.2015;2 WEEKS;-0,148
Euribor rates;2.11.2015;1 MONTH;-0,119
Euribor rates;2.11.2015;2 MONTHS;-0,084
Euribor rates;2.11.2015;3 MONTHS;-0,066
Euribor rates;2.11.2015;6 MONTHS;0,007
Euribor rates;2.11.2015;9 MONTHS;0,047
Euribor rates;2.11.2015;12 MONTHS;0,109
Government Bonds;2.11.2015;10 YEARS;0,672168
Government Bonds;2.11.2015;12 MONTHS;-0,319086
Government Bonds;2.11.2015;2 YEARS;-0,301108
Government Bonds;2.11.2015;5 YEARS;-0,000564
Government Bonds;2.11.2015;7 YEARS;0,291463
Government Bonds;2.11.2015;12 YEARS;0,864406
Government Bonds;2.11.2015;15 YEARS;1,076188
Government Bonds;2.11.2015;3 MONTHS;-0,336365
Government Bonds;2.11.2015;6 MONTHS;-0,326423
Government Bonds;2.11.2015;9 MONTHS;-0,321565
Government Bonds;2.11.2015;20 YEARS;1,298974
Government Bonds;2.11.2015;25 YEARS;1,434462
Government Bonds;2.11.2015;30 YEARS;1,524927
Euribor rates;3.11.2015;1 WEEK;-0,15
Euribor rates;3.11.2015;2 WEEKS;-0,148
Euribor rates;3.11.2015;1 MONTH;-0,121
Euribor rates;3.11.2015;2 MONTHS;-0,086
Euribor rates;3.11.2015;3 MONTHS;-0,069
Euribor rates;3.11.2015;6 MONTHS;0,003
Euribor rates;3.11.2015;9 MONTHS;0,044
Euribor rates;3.11.2015;12 MONTHS;0,106
Government Bonds;3.11.2015;10 YEARS;0,673219
Government Bonds;3.11.2015;12 MONTHS;-0,326178
Government Bonds;3.11.2015;2 YEARS;-0,309291
Government Bonds;3.11.2015;5 YEARS;-0,009026
Government Bonds;3.11.2015;7 YEARS;0,286178
Government Bonds;3.11.2015;12 YEARS;0,869377
Government Bonds;3.11.2015;15 YEARS;1,085912
Government Bonds;3.11.2015;3 MONTHS;-0,343196
Government Bonds;3.11.2015;6 MONTHS;-0,333236
Government Bonds;3.11.2015;9 MONTHS;-0,328475
Government Bonds;3.11.2015;20 YEARS;1,314025
Government Bonds;3.11.2015;25 YEARS;1,452828
Government Bonds;3.11.2015;30 YEARS;1,545515
Euribor rates;4.11.2015;1 WEEK;-0,149
Euribor rates;4.11.2015;2 WEEKS;-0,149
Euribor rates;4.11.2015;1 MONTH;-0,122
Euribor rates;4.11.2015;2 MONTHS;-0,088
Euribor rates;4.11.2015;3 MONTHS;-0,069
Euribor rates;4.11.2015;6 MONTHS;0
Euribor rates;4.11.2015;9 MONTHS;0,04
Euribor rates;4.11.2015;12 MONTHS;0,101
Government Bonds;4.11.2015;10 YEARS;0,675918
Government Bonds;4.11.2015;12 MONTHS;-0,335509
Government Bonds;4.11.2015;2 YEARS;-0,321248
Government Bonds;4.11.2015;5 YEARS;-0,022417
Government Bonds;4.11.2015;7 YEARS;0,278294
Government Bonds;4.11.2015;12 YEARS;0,87841
Government Bonds;4.11.2015;15 YEARS;1,102476
Government Bonds;4.11.2015;3 MONTHS;-0,352341
Government Bonds;4.11.2015;6 MONTHS;-0,342081
Government Bonds;4.11.2015;9 MONTHS;-0,337423
Government Bonds;4.11.2015;20 YEARS;1,338917
Government Bonds;4.11.2015;25 YEARS;1,482877
Government Bonds;4.11.2015;30 YEARS;1,579016
Euribor rates;5.11.2015;1 WEEK;-0,151
Euribor rates;5.11.2015;2 WEEKS;-0,149
Euribor rates;5.11.2015;1 MONTH;-0,123
Euribor rates;5.11.2015;2 MONTHS;-0,089
Euribor rates;5.11.2015;3 MONTHS;-0,071
Euribor rates;5.11.2015;6 MONTHS;0,001
Euribor rates;5.11.2015;9 MONTHS;0,039
Euribor rates;5.11.2015;12 MONTHS;0,098
Government Bonds;5.11.2015;10 YEARS;0,708684
Government Bonds;5.11.2015;12 MONTHS;-0,330286
Government Bonds;5.11.2015;2 YEARS;-0,314832
Government Bonds;5.11.2015;5 YEARS;-0,005591
Government Bonds;5.11.2015;7 YEARS;0,302107
Government Bonds;5.11.2015;12 YEARS;0,91596
Government Bonds;5.11.2015;15 YEARS;1,145577
Government Bonds;5.11.2015;3 MONTHS;-0,344511
Government Bonds;5.11.2015;6 MONTHS;-0,33566
Government Bonds;5.11.2015;9 MONTHS;-0,331826
Government Bonds;5.11.2015;20 YEARS;1,388128
Government Bonds;5.11.2015;25 YEARS;1,535875
Government Bonds;5.11.2015;30 YEARS;1,634552
Euribor rates;6.11.2015;1 WEEK;-0,152
Euribor rates;6.11.2015;2 WEEKS;-0,15
Euribor rates;6.11.2015;1 MONTH;-0,124
Euribor rates;6.11.2015;2 MONTHS;-0,09
Euribor rates;6.11.2015;3 MONTHS;-0,073
Euribor rates;6.11.2015;6 MONTHS;-0,002
Euribor rates;6.11.2015;9 MONTHS;0,037
Euribor rates;6.11.2015;12 MONTHS;0,096
Government Bonds;6.11.2015;10 YEARS;0,782245
Government Bonds;6.11.2015;12 MONTHS;-0,326376
Government Bonds;6.11.2015;2 YEARS;-0,292301
Government Bonds;6.11.2015;5 YEARS;0,048082
Government Bonds;6.11.2015;7 YEARS;0,365924
Government Bonds;6.11.2015;12 YEARS;0,994167
Government Bonds;6.11.2015;15 YEARS;1,229017
Government Bonds;6.11.2015;3 MONTHS;-0,357559
Government Bonds;6.11.2015;6 MONTHS;-0,342847
Government Bonds;6.11.2015;9 MONTHS;-0,333338
Government Bonds;6.11.2015;20 YEARS;1,477271
Government Bonds;6.11.2015;25 YEARS;1,628552
Government Bonds;6.11.2015;30 YEARS;1,729598
Euribor rates;9.11.2015;1 WEEK;-0,151
Euribor rates;9.11.2015;2 WEEKS;-0,15
Euribor rates;9.11.2015;1 MONTH;-0,125
Euribor rates;9.11.2015;2 MONTHS;-0,091
Euribor rates;9.11.2015;3 MONTHS;-0,073
Euribor rates;9.11.2015;6 MONTHS;0,001
Euribor rates;9.11.2015;9 MONTHS;0,042
Euribor rates;9.11.2015;12 MONTHS;0,101
Government Bonds;9.11.2015;10 YEARS;0,80001
Government Bonds;9.11.2015;12 MONTHS;-0,330455
Government Bonds;9.11.2015;2 YEARS;-0,31023
Government Bonds;9.11.2015;5 YEARS;0,023332
Government Bonds;9.11.2015;7 YEARS;0,356556
Government Bonds;9.11.2015;12 YEARS;1,02727
Government Bonds;9.11.2015;15 YEARS;1,279789
Government Bonds;9.11.2015;3 MONTHS;-0,352648
Government Bonds;9.11.2015;6 MONTHS;-0,340272
Government Bonds;9.11.2015;9 MONTHS;-0,33388
Government Bonds;9.11.2015;20 YEARS;1,547139
Government Bonds;9.11.2015;25 YEARS;1,71014
Government Bonds;9.11.2015;30 YEARS;1,819023
Euribor rates;10.11.2015;1 WEEK;-0,153
Euribor rates;10.11.2015;2 WEEKS;-0,151
Euribor rates;10.11.2015;1 MONTH;-0,129
Euribor rates;10.11.2015;2 MONTHS;-0,096
Euribor rates;10.11.2015;3 MONTHS;-0,077
Euribor rates;10.11.2015;6 MONTHS;-0,004
Euribor rates;10.11.2015;9 MONTHS;0,034
Euribor rates;10.11.2015;12 MONTHS;0,091
Government Bonds;10.11.2015;10 YEARS;0,755828
Government Bonds;10.11.2015;12 MONTHS;-0,338375
Government Bonds;10.11.2015;2 YEARS;-0,33789
Government Bonds;10.11.2015;5 YEARS;-0,023198
Government Bonds;10.11.2015;7 YEARS;0,310034
Government Bonds;10.11.2015;12 YEARS;0,984297
Government Bonds;10.11.2015;15 YEARS;1,237948
Government Bonds;10.11.2015;3 MONTHS;-0,33848
Government Bonds;10.11.2015;6 MONTHS;-0,33421
Government Bonds;10.11.2015;9 MONTHS;-0,335179
Government Bonds;10.11.2015;20 YEARS;1,506255
Government Bonds;10.11.2015;25 YEARS;1,669769
Government Bonds;10.11.2015;30 YEARS;1,778986
Euribor rates;11.11.2015;1 WEEK;-0,154
Euribor rates;11.11.2015;2 WEEKS;-0,152
Euribor rates;11.11.2015;1 MONTH;-0,132
Euribor rates;11.11.2015;2 MONTHS;-0,099
Euribor rates;11.11.2015;3 MONTHS;-0,079
Euribor rates;11.11.2015;6 MONTHS;-0,006
Euribor rates;11.11.2015;9 MONTHS;0,032
Euribor rates;11.11.2015;12 MONTHS;0,089
Government Bonds;11.11.2015;10 YEARS;0,736979
Government Bonds;11.11.2015;12 MONTHS;-0,34667
Government Bonds;11.11.2015;2 YEARS;-0,344207
Government Bonds;11.11.2015;5 YEARS;-0,030129
Government Bonds;11.11.2015;7 YEARS;0,298224
Government Bonds;11.11.2015;12 YEARS;0,961957
Government Bonds;11.11.2015;15 YEARS;1,211908
Government Bonds;11.11.2015;3 MONTHS;-0,346028
Government Bonds;11.11.2015;6 MONTHS;-0,3425
Government Bonds;11.11.2015;9 MONTHS;-0,343653
Government Bonds;11.11.2015;20 YEARS;1,476478
Government Bonds;11.11.2015;25 YEARS;1,637766
Government Bonds;11.11.2015;30 YEARS;1,745501
Euribor rates;12.11.2015;1 WEEK;-0,153
Euribor rates;12.11.2015;2 WEEKS;-0,153
Euribor rates;12.11.2015;1 MONTH;-0,136
Euribor rates;12.11.2015;2 MONTHS;-0,103
Euribor rates;12.11.2015;3 MONTHS;-0,081
Euribor rates;12.11.2015;6 MONTHS;-0,011
Euribor rates;12.11.2015;9 MONTHS;0,028
Euribor rates;12.11.2015;12 MONTHS;0,084
Government Bonds;12.11.2015;10 YEARS;0,725572
Government Bonds;12.11.2015;12 MONTHS;-0,345371
Government Bonds;12.11.2015;2 YEARS;-0,346544
